Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Updated,Unit,Op Date,Sync Date,Serv,I39,Dev,Zone,System Impact Study Completed,Feasiblity Study Status,System Impact Study Status,Optional Interconnection Study Status,Facilities Study Status,Interconnection Agreement Status,Project Status
850,Bear Swamp Upper Yard substation - NG Western MA Area Cluster Study,,Berkshire,MA,NG Bear Swamp Upper Yard substation,NGRID,SUN,2.5,2.5,2.5,3/21/2019,Completed,9/8/2021,,,,10/27/2021,PV,9/8/2021,9/8/2021,,Y,,WMA,Y,,,,,,
849,Ashburnham substation - NG Western MA Area Cluster Study,,Worcester,MA,NG Ashburnham substation,,SUN,4.98,4.98,4.98,3/21/2019,Withdrawn,1/12/2023,6/13/2025,,,6/16/2025,PV,1/12/2023,1/12/2023,,N,,WMA,N,,,,,,
848,Adams substation - NG Western MA Area Cluster Study,,Berkshire,MA,NG Adams substation,NGRID,SUN,10.978,10.978,10.978,3/21/2019,Withdrawn,12/2/2021,6/13/2025,,,6/16/2025,PV,12/31/2021,12/2/2021,,Y,,WMA,Y,,,,,,
847,Battery Storage,,Essex,MA,Primary POI: Expand NGRID S.Danvers 115 kV substation by connecting to B-154N line Alternative POI: Tap B-154N line two spans west of the S. Danvers substation to construct a new three-breaker ring bus,,BAT,150.0,150.0,150.0,3/19/2019,Withdrawn,4/30/2023,3/6/2020,,,3/9/2020,OT,5/31/2023,4/30/2023,CNR,N,PD,BOST,N,Document Posted,,,,,Under Study
846,Offshore Wind Increase,,,MA,"National Grid, 345 kV Brayton Point Substation, Somerset, MA",ISO-NE,WND,40.0,840.0,840.0,3/19/2019,Withdrawn,9/21/2025,8/10/2022,,,8/10/2022,WT,5/31/2026,9/21/2025,CNR,Y,PD,RI,Y,Document Posted,Document Posted,,,Not Started,
845,Solar,,Windham,CT,3 Breaker Ring Bus on the Eversource 1607 Line (modeling based on same point as Exeter Tap for practical purposes),,SUN,20.0,20.0,20.0,3/18/2019,Withdrawn,6/1/2020,11/8/2019,,,11/12/2019,PV,7/1/2020,6/1/2020,CNR,N,PD,CT,N,In Progress,,,,,Under Study
844,Medway Grid Battery Storage,,Norfolk,MA,Eversource 345 kV West Medway substation,ISO-NE,BAT,250.0,250.0,250.0,3/13/2019,Completed,12/2/2025,,,,2/25/2026,OT,2/25/2026,12/2/2025,CNR,Y,PD,SEMA,Y,Document Posted,Document Posted,,,Executed,In Service
843,Solar,,Essex,VT,"POI location: 44.777214,-71.633269 New 34.5 kV Line Tap at VEC Pole 84-872",,SUN,12.0,12.0,12.0,3/7/2019,Withdrawn,6/1/2020,4/18/2019,,,4/18/2019,PV,7/1/2020,6/1/2020,CNR,N,,VT,N,,,,,,
842,Milo Solar,,Pisataquis,ME,"EMERA 46kV 28 ME-16 Milo, Maine",ISO-NE,SUN,20.0,20.0,20.0,3/5/2019,Completed,6/2/2021,,,,9/27/2021,PV,9/25/2021,6/2/2021,CNR,Y,,BHE,Y,,Document Posted,,,Executed,In Service
841,Quinebaug Solar CNR only,,Windham,CT,Killingly to Tunnel 115 kV line (approx 5.5 miles south of Brooklyn Substation) - New Eversource Canterbury switching station.  GPS Coordinates: - 71 55’ 27.9” W - 41 44’ 14.21” N,,SUN,0.9,49.9,49.9,3/5/2019,Completed,12/11/2021,,,,12/27/2021,PV,12/18/2021,12/11/2021,CNR,N,,CT,N,,,,,Executed,In Service
