Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Proposed In-Service Date,Proposed Initial-Sync Date,Last Updated Date,Z,S,Availability of Studies,SGIA Tender Date
1235,Peconic Energy Storage,ACE Development Company,Suffolk,NY,Holbrook - West Yaphank 69 kV ,LIPA,Energy Storage,100.0,100,100,2021-08-20,Withdrawn,,2022-12-31 00:00:00,,,,,,K,0.0,,
1236,Gravel Road Solar,"Gravel Road Solar, LLC",Seneca,NY,Station 127 (Hook Rd) -Elbridge and Mortimer-Elbridge 115 kV lines,NM-NG,Solar,128.0,128,128,2021-08-23,Withdrawn,,2024-12-31 00:00:00,,,,,,C,0.0,,
1238,Harvest Hills Solar 2,ConnectGen Cayuga County LLC,Cayuga County,NY,Wright Avenue - Milliken 115kV line,NYSEG,,100.0,100,100,2021-08-25,Withdrawn,,2024-07-31 00:00:00,,,,,,C,0.0,,
1239,NY Interconnection 3,NY Interconnection LLC,NY,NY,Goethals - Fresh Kills 345kV,ConEd,Energy Storage,130.3,130.3,122,2021-09-02,Withdrawn,,2024-05-31 00:00:00,,,,,,J,0.0,,
1240,Gowanus Bay Energy Storage 1,"Astoria Generating Company, L.P.",Kings,NY,Gowanus 138 kV substation (utilizing the existing feeder 42421),ConEd,Energy Storage,100.0,100,100,2021-09-03,Withdrawn,,2024-05-31 00:00:00,,,,,,J,0.0,,
1241,Gowanus Bay Energy Storage 2,"Astoria Generating Company, L.P.",Kings,NY,Feeder 42424 (Existing POI at Gowanus 138 kV),ConEd,Energy Storage,49.2,49.2,49.2,2021-09-03,Withdrawn,,2024-05-31 00:00:00,,,,,,J,0.0,,
1242,Ravenswood Energy Storage 3,"Light & Power Development, LLC",Queens,NY,Vernon 138kV,ConEd,Energy Storage,70.0,70,70,2021-09-03,Withdrawn,,2021-11-30 00:00:00,,,,,,J,0.0,,
1243,Whale Square Energy Storage 2,"Astoria Generating Company, L.P.",Kings,NY,"Greenwood 138kV substation, via Feeder 23162",ConEd,Energy Storage,95.7,95.7,95.7,2021-09-03,Withdrawn,,2024-05-31 00:00:00,,,,,,J,0.0,,
1244,Whale Square Energy Storage 3,"Astoria Generating Company, L.P.",Kings,NY,"Greenwood 138 kV substation, via Feeder 23161",ConEd,Energy Storage,49.2,49.2,49.2,2021-09-03,Withdrawn,,2024-05-31 00:00:00,,,,,,J,0.0,,
1246,Amber Solar and Storage,Hanwha Q CELLS USA,St. Lawrence County,NY,Moses - Massena MMS 1 230kV,NYPA,,232.0,232,232,2021-09-14,Withdrawn,,2023-02-28 00:00:00,,,,,,D,0.0,,
1247,Emerald Solar and Storage,Hanwha Q CELLS USA,Genesee,NY,Lapp - East Batavia 115 kV,NM-NG,Solar,174.0,174,174,2021-09-14,Withdrawn,,2022-08-31 00:00:00,,,,,,B,0.0,,
1248,Garnet Solar and Storage,Hanwha Q CELLS USA,Orleans,NY,Sour Springs 115 kV,NM-NG,Solar,174.0,174,174,2021-09-14,Withdrawn,,2022-03-31 00:00:00,,,,,,B,0.0,,
1249,Ruby Storage Project,Hanwha Q CELLS USA,Ontario,NY,Station 168 - Trelina Solar 115kV,NM-NG,Energy Storage,115.0,115,115,2021-09-14,Withdrawn,,2024-05-31 00:00:00,,,,,,C,0.0,,
1250,Sapphire Solar and Storage,Hanwha Q CELLS USA,Wyoming,NY,South Perry - Meyer 230 kV,NYSEG,,200.0,200,200,2021-09-14,Withdrawn,,2024-05-31 00:00:00,,,,,,C,0.0,,
1251,Topaz Storage Project,Hanwha Q CELLS USA,Rensselaer,NY,Knickerbocker 345 kV,Transco,Energy Storage,200.0,200,200,2021-09-14,Withdrawn,,2023-05-31 00:00:00,,,,,,F,0.0,,
1252,Hillburn Energy Storage,"Alliance Energy Storage, LLC",Rockland,NY,Hillburn,O&R,Energy Storage,10.0,10,10,2021-09-15,Withdrawn,,2021-11-30 00:00:00,,,,,,G,0.0,,
1253,Shoemaker Energy Storage,"Alliance Energy Storage, LLC",Orange,NY,Shoemaker,O&R,Energy Storage,5.5,5.5,5.5,2021-09-15,Withdrawn,,2021-11-30 00:00:00,,,,,,G,0.0,,
