Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,facilityType,Post Generator Interconnection Agreement Status,Interconnection Approval Date,inService,giaToExec,studyCycle,studyGroup,studyPhase,svcType,dp1ErisMw,dp1NrisMw,dp2ErisMw,dp2NrisMw,sisPhase1
J1068,,,Washtenaw County,MI,Dorset 120 kV Substation,ITC MIDWEST,Wind,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-11-21T05:00:00+00:00,,,Wind Turbine,Not Started,,2020-10-31T04:00:00+00:00,,DPP-2018-APR,East (ITC),GIA,NRIS,0.0,0.0,0.0,0.0,
J1088,,,Shiawassee County,MI,Cornell - Layton 138 kV Line Tap,METC,Solar,150.0,150.0,150.0,2018-03-12T04:00:00+00:00,Withdrawn,,2021-02-04T05:00:00+00:00,,,Photovoltaic,Withdrawn,,2021-01-02T05:00:00+00:00,2020-12-22T05:00:00+00:00,DPP-2018-APR,East (ITC),GIA,NRIS,150.0,150.0,150.0,150.0,
J1075,,,Cass County,MI,Argenta - Weeds Lake - Hiple 345kV Line Tap,METC,Wind,350.0,350.0,350.0,2018-03-12T04:00:00+00:00,Withdrawn,,2018-11-01T04:00:00+00:00,,,Wind Turbine,Not Started,,2020-09-01T04:00:00+00:00,,DPP-2018-APR,East (ITC),GIA,NRIS,0.0,0.0,0.0,0.0,
J1096,,,Saline County,IL,Norris City North - Muddy 138 kV Line,AMEREN ILLINOIS,Solar,150.0,150.0,150.0,2018-03-12T04:00:00+00:00,Done,2024-01-01T05:00:00+00:00,,,,Photovoltaic,Under Construction,2021-10-12T04:00:00+00:00,2021-01-02T05:00:00+00:00,2021-10-13T04:00:00+00:00,DPP-2018-APR,Central,GIA,NRIS,150.0,150.0,150.0,150.0,
J1079,,,St. Charles Parish,LA,Waterford 1&2 230 kV Substation,"ENTERGY LOUISIANA, LLC ELTO",Solar,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-08-29T04:00:00+00:00,,,Photovoltaic,Not Started,,2021-09-15T04:00:00+00:00,,DPP-2018-APR,South,GIA,NRIS,0.0,0.0,0.0,0.0,
J1097,,,"Lonoke County,Pulaski County",AR,KEO EHV 500 kV Substation,"ENTERGY ARKANSAS, LLC EATO",Solar,500.0,500.0,500.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-08-29T04:00:00+00:00,,,Photovoltaic,Not Started,,2021-09-15T04:00:00+00:00,,DPP-2018-APR,South,GIA,NRIS,0.0,0.0,0.0,0.0,
J1098,,,Jackson County,MN,Lakefield 345 kV Substation,NORTHERN STATES POWER COMPANY,Solar,40.0,40.0,40.0,2018-03-12T04:00:00+00:00,Withdrawn,,2021-03-09T05:00:00+00:00,,,Photovoltaic,Not Started,,2022-09-30T04:00:00+00:00,,DPP-2018-APR,West,GIA,NRIS,40.0,40.0,0.0,0.0,
J1095,,,DeSoto County,MS,Twinkletown 230kV Substation,"ENTERGY MISSISSIPPI, LLC EMMP",Solar,300.0,300.0,300.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-08-29T04:00:00+00:00,,,Photovoltaic,Not Started,,2021-09-15T04:00:00+00:00,,DPP-2018-APR,South,GIA,NRIS,0.0,0.0,0.0,0.0,
J1077,,,Cass County,MI,Argenta - Weeds Lake - Hiple 345kV Line Tap,METC,Wind,250.0,250.0,250.0,2018-03-12T04:00:00+00:00,Withdrawn,,2018-11-01T04:00:00+00:00,,,Wind Turbine,Not Started,,2020-09-01T04:00:00+00:00,,DPP-2018-APR,East (ITC),GIA,NRIS,0.0,0.0,0.0,0.0,
J1120,,,Jefferson County,TX,Big Hill CO - Bayou Farms CO 138 kV Line Tap,"ENTERGY TEXAS, INC. ETTO",Wind,145.0,145.0,145.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-08-23T04:00:00+00:00,,,Wind Turbine,Not Started,,2021-09-01T04:00:00+00:00,,DPP-2018-APR,South,GIA,NRIS,0.0,0.0,0.0,0.0,
J1122,,,Pottawattamie County,IA,Council Bluffs - Fallow Avenue 345 kV Line Tap,MIDAMERICAN ENERGY COMPANY,Wind,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,Withdrawn,,2021-03-09T05:00:00+00:00,,,Wind Turbine,Not Started,,2022-09-01T04:00:00+00:00,,DPP-2018-APR,West,GIA,NRIS,200.0,200.0,0.0,0.0,
J1140,,,Benton County,MN,Platte River 115 kV Substation,MINNESOTA POWER,Solar,80.0,80.0,80.0,2018-03-12T04:00:00+00:00,Withdrawn,,2021-03-09T05:00:00+00:00,,,Photovoltaic,Not Started,,2020-08-01T04:00:00+00:00,,DPP-2018-APR,West,GIA,NRIS,80.0,80.0,0.0,0.0,
J1141,,,Manistee County,MI,Filer - BoxbdJ - Stronach 138kV Line Tap,METC,Gas,17.0,17.0,17.0,2018-03-12T04:00:00+00:00,Withdrawn,,2018-09-07T04:00:00+00:00,,,Combined Cycle,Not Started,,2019-10-01T04:00:00+00:00,,DPP-2018-APR,East (ITC),GIA,NRIS,0.0,0.0,0.0,0.0,
J1123,,,Audrain County,MO,Spencer Creek 345 kV Substation,AMEREN MISSOURI,Wind,150.0,150.0,150.0,2018-03-12T04:00:00+00:00,Withdrawn,,2020-01-02T05:00:00+00:00,,,Wind Turbine,Not Started,,2021-09-01T04:00:00+00:00,,DPP-2018-APR,Central,GIA,NRIS,0.0,0.0,0.0,0.0,
J1100,,,Grimes County,TX,Grimes 345 kV Substation,"ENTERGY TEXAS, INC. ETTO",Solar,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-08-29T04:00:00+00:00,,,Photovoltaic,Not Started,,2021-09-15T04:00:00+00:00,,DPP-2018-APR,South,GIA,NRIS,0.0,0.0,0.0,0.0,
J1093,,,"Desha County,Drew County",AR,Reed Switch 115kV Substation,"ENTERGY ARKANSAS, LLC EATO",Solar,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-08-29T04:00:00+00:00,,,Photovoltaic,Not Started,,2021-09-15T04:00:00+00:00,,DPP-2018-APR,South,GIA,NRIS,0.0,0.0,0.0,0.0,
J1076,,,St. James Parish,LA,Vacherie Sub 230 kV Substation,"ENTERGY LOUISIANA, LLC",Solar,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,Done,2022-09-01T04:00:00+00:00,,,,Photovoltaic,Under Construction,2021-01-06T05:00:00+00:00,2021-09-15T04:00:00+00:00,2020-07-01T04:00:00+00:00,DPP-2018-APR,South,GIA,NRIS,200.0,200.0,200.0,200.0,
J1078,,,Mississippi County,AR,San Souci 500 kV Substation,"ENTERGY ARKANSAS, LLC EATO",Solar,300.0,300.0,300.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-08-29T04:00:00+00:00,,,Photovoltaic,Not Started,,2021-09-15T04:00:00+00:00,,DPP-2018-APR,South,GIA,NRIS,0.0,0.0,0.0,0.0,
J1124,,,Olmsted County,MN,Byron 345kV Substation,SMMPA,Solar,100.0,100.0,100.0,2018-03-12T04:00:00+00:00,Done,2024-06-01T04:00:00+00:00,,,,Photovoltaic,Under Construction,2021-06-15T04:00:00+00:00,2021-09-15T04:00:00+00:00,2021-06-15T04:00:00+00:00,DPP-2018-APR,West,GIA,NRIS,100.0,100.0,100.0,100.0,
J1142,,,St. James Parish,LA,Vacherie 230kV Substation,"ENTERGY LOUISIANA, LLC",Solar,20.0,20.0,20.0,2018-03-12T04:00:00+00:00,Done,2020-07-01T04:00:00+00:00,,,,Photovoltaic,In Service (with Provisional GIA),2020-07-10T04:00:00+00:00,2020-06-01T04:00:00+00:00,2018-12-12T05:00:00+00:00,DPP-2018-APR,South,GIA,NRIS,20.0,20.0,20.0,20.0,
J1125,,,Cross County,AR,Wynne South - Wynne East AECC 161 kV Line Tap,"ENTERGY ARKANSAS, LLC",Solar,135.0,135.0,135.0,2018-03-12T04:00:00+00:00,Done,2023-03-01T05:00:00+00:00,,,,Photovoltaic,Under Construction,2020-08-12T04:00:00+00:00,2021-07-31T04:00:00+00:00,2020-03-30T04:00:00+00:00,DPP-2018-APR,South,GIA,NRIS,135.0,135.0,135.0,135.0,
J1143,,,Morrison County,MN,Blanchard - Little Falls 115 kV Line,MINNESOTA POWER,Solar,100.0,100.0,100.0,2018-03-12T04:00:00+00:00,Withdrawn,,2020-03-25T04:00:00+00:00,,,Photovoltaic,Not Started,,2020-08-01T04:00:00+00:00,,DPP-2018-APR,West,GIA,NRIS,0.0,0.0,0.0,0.0,
J1104,,,"Washington County,Waukesha County",WI,Germantown - Bark River 138kV Line,American Transmission Co. LLC,Battery Storage,100.0,100.0,100.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-10-24T04:00:00+00:00,,,Battery Storage,Not Started,,2021-09-01T04:00:00+00:00,,DPP-2018-APR,East (ATC),GIA,NRIS,0.0,0.0,0.0,0.0,
J1105,,,Dakota County,MN,Hampton Corners 345 kV Substation,NORTHERN STATES POWER COMPANY,Solar,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,Withdrawn,,2021-03-09T05:00:00+00:00,,,Photovoltaic,Not Started,,2020-09-01T04:00:00+00:00,,DPP-2018-APR,West,GIA,NRIS,200.0,200.0,0.0,0.0,
J1106,,,Redwood County,MN,Lyon County - Cedar Mountain 345 kV Circuit 2 Line,GREAT RIVER ENERGY,Wind,414.0,414.0,414.0,2018-03-12T04:00:00+00:00,Withdrawn,,2021-03-09T05:00:00+00:00,,,Wind Turbine,Not Started,,2021-08-01T04:00:00+00:00,,DPP-2018-APR,West,GIA,NRIS,414.0,414.0,0.0,0.0,
