Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Proposed Completion Date,iso,outcome,Status,Withdrawn Date,Actual Completion Date,Withdrawal Comment,queue_date,queue_year,capacity_mw,resolved
J2362,,,Fountain,IN,VEEDERSBURG WEST 230kV Substation,"DUKE ENERGY INDIANA, LLC CIN",Battery Storage,100.0,100.0,100.0,2022-09-13T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-10-27T04:00:00+00:00,,,2022-09-13 04:00:00+00:00,2022.0,100.0,True
J2200,,,Scott,MN,BLUE LAKE,NORTHERN STATES POWER COMPANY,Battery Storage,200.0,200.0,200.0,2021-08-13T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2021-11-30T05:00:00+00:00,,,2021-08-13 04:00:00+00:00,2021.0,200.0,True
J4069,,,Marathon,WI,Kelly - Ackley 115.0kV,AMERICAN TRANSMISSION COMPANY,Solar,169.93,169.93,169.93,2025-10-03T04:00:00+00:00,,MISO,active,Active,,,,2025-10-03 04:00:00+00:00,2025.0,169.93,False
S1116,,,Tallahatchie,MS,WEBB,"ENTERGY MISSISSIPPI, LLC. EMTO",Battery Storage,100.0,100.0,100.0,2025-08-31T04:00:00+00:00,2027-06-01T04:00:00+00:00,MISO,active,Active,,,,2025-08-31 04:00:00+00:00,2025.0,100.0,False
J4242,,,,,,"ENTERGY ARKANSAS, LLC",,115.0,115.0,115.0,2026-05-22T23:48:28+00:00,,MISO,active,Active,,,,2026-05-22 23:48:28+00:00,2026.0,115.0,False
J3245,,,Breckinridge,KY,Meade County - New Hardinsburg 161.0kV,BIG RIVERS ELECTRIC CORPORATION BREC,Solar,150.0,150.0,150.0,2024-03-26T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-09-05T04:00:00+00:00,,,2024-03-26 04:00:00+00:00,2024.0,150.0,True
S1166,,,,MN,,NORTHERN STATES POWER COMPANY,,108.93,108.93,108.93,2026-05-04T19:33:45+00:00,,MISO,active,Active,,,,2026-05-04 19:33:45+00:00,2026.0,108.93,False
S1177,,,,,,"DUKE ENERGY INDIANA, LLC CIN",,0.0,0.0,0.0,2026-05-22T08:19:27+00:00,,MISO,active,Active,,,,2026-05-22 08:19:27+00:00,2026.0,0.0,False
J4241,,,St. Charles,,SIOUX,AMEREN MISSOURI,,2220.0,2220.0,2220.0,2026-05-28T18:29:18+00:00,,MISO,active,Active,,,,2026-05-28 18:29:18+00:00,2026.0,2220.0,False
J3252,,,St. Clair,MI,FITZ,ITC,Battery Storage,200.0,200.0,200.0,2024-04-15T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-05-23T04:00:00+00:00,,,2024-04-15 04:00:00+00:00,2024.0,200.0,True
J3261,,,Tunica,MS,Tunica 230 kV (337160),"ENTERGY MISSISSIPPI, LLC. EMTO",Solar,200.0,200.0,200.0,2024-03-26T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-09-30T04:00:00+00:00,,,2024-03-26 04:00:00+00:00,2024.0,200.0,True
J3260,,,LaSalle,IL,4NLASALLE RB - 4WED_FOXR 138.0kV,AMEREN ILLINOIS,Solar,97.0,97.0,97.0,2024-03-28T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-09-30T04:00:00+00:00,,,2024-03-28 04:00:00+00:00,2024.0,97.0,True
J3267,,,Genesee,MI,THETFORD,METC,Solar,50.0,50.0,50.0,2024-04-15T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-05-23T04:00:00+00:00,,,2024-04-15 04:00:00+00:00,2024.0,50.0,True
J3286,,,Sanilac,MI,KILGORE - MICAH 120.0kV,ITC,Solar,200.0,200.0,200.0,2024-04-15T04:00:00+00:00,,MISO,active,Pending Revision Approval,,,,2024-04-15 04:00:00+00:00,2024.0,200.0,False
J3246,,,Sangamon,IL,Fancy Creek 138kV Substation,"PRAIRIE POWER, INC. PPI",Solar,120.0,120.0,120.0,2024-04-05T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-09-30T04:00:00+00:00,,,2024-04-05 04:00:00+00:00,2024.0,120.0,True
J3251,,,Genesee,MI,THETFORD,METC,Battery Storage,200.0,200.0,200.0,2024-04-15T04:00:00+00:00,,MISO,active,Active,,,,2024-04-15 04:00:00+00:00,2024.0,200.0,False
J3244,,,Parke,IN,Parke County REMC,"DUKE ENERGY INDIANA, LLC CIN",Solar,100.0,100.0,100.0,2024-03-27T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-09-05T04:00:00+00:00,,,2024-03-27 04:00:00+00:00,2024.0,100.0,True
J3263,,,Desha,AK,DUMAS - REED SS 115.0kV,ARKANSAS ELECTRIC COOPERATIVE CORPORATION AECT,Solar,150.0,150.0,150.0,2024-04-15T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-09-25T04:00:00+00:00,,,2024-04-15 04:00:00+00:00,2024.0,150.0,True
S1164,,,MIssissippi,AR,Dell - Manila 161 kV,ENTERGY ARKANSAS INC. EAI,,200.0,200.0,200.0,2026-05-11T04:00:00+00:00,,MISO,active,Active,,,,2026-05-11 04:00:00+00:00,2026.0,200.0,False
J3250,,,Cerro Gordo,IA,FLOYD - EMERY (ITCM) 161.0kV,MIDAMERICAN ENERGY CO. MEC,Wind,150.0,150.0,150.0,2024-04-14T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-09-02T04:00:00+00:00,,,2024-04-14 04:00:00+00:00,2024.0,150.0,True
J3287,,,Osceola,MI,Hersey Interconnection,WOLVERINE POWER SUPPLY COOPERATIVE,Solar,110.0,110.0,110.0,2024-04-15T04:00:00+00:00,,MISO,active,Pending Revision Approval,,,,2024-04-15 04:00:00+00:00,2024.0,110.0,False
J3301,,,Prairie,AR,DES ARC - COTTON PLANT 115.0kV,"ENTERGY ARKANSAS, LLC EATO",Solar,180.0,180.0,180.0,2024-04-17T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-12-23T05:00:00+00:00,,,2024-04-17 04:00:00+00:00,2024.0,180.0,True
J3262,,,Jefferson,TX,Stowell,"ENTERGY TEXAS, INC. ETTO",Wind,300.0,300.0,300.0,2024-04-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-12-23T05:00:00+00:00,,,2024-04-12 04:00:00+00:00,2024.0,300.0,True
J3302,,,Jefferson,AR,P.B. SOUTH - VARNER 115.0kV,"ENTERGY ARKANSAS, LLC EATO",Solar,105.0,105.0,105.0,2024-04-17T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-12-23T05:00:00+00:00,,,2024-04-17 04:00:00+00:00,2024.0,105.0,True
